,Common/shareable CM responsibilities ,,,,
,CM TEAM responsibilities (common for all CMs) highlighted in dark green,,,,
Project lifecycle stage,RCM's Core Skills,,RCM's Peripheral Skills - Responsibilities Shared with other members of the team,,
Skills mapped to project stage,Communications,Engagement,Strategic Leadership Team (Understand and proactively contribute to),Technical Team (understand/share the concepts and embed open - reproducible - ethical research practices),Programme Management Team (Be aware of and work and clarify overlaps if any)
Skills mapped to project stage,Communications,Engagement,Strategic development,Technical skills,Project/Programme management
Initiation,Creating community participation guidelines and templates for community use,Stakeholder mapping and creating engagement plan,"Horizon scanning, identifying opportunities, creating communication and engagement strategy ","Identifying appropriate license types, version control system and communications platforms","Being aware of and following project timeline and budget, identifying risks and creating mitigation plan for community project"
Initiation,Communication planning and community content development,Onboarding stakeholders and community members,"Sharing project strategy, aligning them with community vision and priorities (with leadership)","Establishing community infrastructure, identifying skills needed as part of community onboarding",Sharing project operational plans
Planning,Developing technical documentation,Providing roadmap for community engagement,Developing ways of working for team and community,"Implementing open science strategy (open source, open access, open data)",Planning team and community meetings
Planning,Open research communication and dissemmination plans,Organising workshops for knowledge share and training/skill building,"Implementing institutional policy, Code of Conduct and conflict resolution approaches (with leadership)",Research data practice development and supporting with data management (alongside data wranglers),Task prioritisation and Information management
Design,"Community specific documentation such as authorship guidelines, writing templates",Gather and integrate community feedback in long term engagement strategy ,Institutional impact assessment and benchmark for community assessment,"Recommending tools, organising technical training and upskilling workshops (alongside Skills team)",Project reporting and coordination process
Design,Curation of project resources to share openly with others,"Mentoring community members, supporting upskilling opportunity, elevating members on visible roles",Consulting other communities and establishing collaboration,Supporting the development and testing of software/code/infrastructure (alongside RSE/RDS),Producing ethics documentation (researchers and ethicist)
Design,Internal communication channel and social media management guidelines,Aligning community and organisational policies with EDIA principles,"Contributor, user, stakeholder and public advocacy ",Maintaining and sharing software/code/infrastructure (alongside RSE/RDS),Event planning and logistics (event teams)
Implementation,External and social platform management and monitoring,Recognition and visibility of community members,"Creating opportunities creating rewards, incentive and support structure (with leadership)",Data analysis and visualisation (alongside RSE/RDS),Financial and budget planning (accounting)
Implementation,Presenting about the project and communicating best practices,Creating opportunities for leadership and onboarding diverse community members on those roles,Identifying growth opportunity and establishing connections between different projects,Platform/product management and technology transfer (alongside RAM),"Meeting planning, calendar management and inviting stakeholders"
Implementation,Communicationg and signposting community opportunities and events,"Creating collaborative, community events and opportunities for discussions","Promoting open leadership practices in community, and managing interns, staff or team",Technical Support / Code Review (alongside RSE/RDS),"Project Organogram, governance and project stakeholder engagement"
Growth,"Community-level governance, inreach and outreach process",Open collaboration and participatory approaches,Funding and sustainability plans for community resources and future development (with leadership),"Web development, UI, UX design (alongside UX specialist and RSE)","Coordinating recruitment, understanding partnership plan, following legal requirements and data protection plans (project manager)"
Monitoring/optimisation,Organisation level impact and reporting,"Community survey, data analysis and reporting (measuring and improving community engagement, health and infrastructure)",Promoting the project externally and establishing strategic partnerships (with leadership),Ensuring reproducible workflows/research process,Internal project reporting
Sustainability,"Supporting translation of community resources, sustainability plans, localisation in multiple-language, engaging non-specialist users",Facilitating adoption of reproducibility method and knowledge sharing from the project,Expanding the project team/community or sunsetting the project (with leadership),"Data management, sharing and archiving (alongside data stewards)",Updating Content Resource Management records for auditing and future references
